現在時刻,健身中心現在人數,健身中心最適人數,健身中心最大乘載人數,室內游泳池現在人數,室內游泳池最適人數,室內游泳池最大乘載人數
2020-12-04 19:10,70,82,111,30,42,70
2020-12-04 19:05,72,82,111,30,42,70
2020-12-04 19:01,72,82,111,28,42,70
2020-12-04 18:52,80,82,111,27,42,70
2020-12-04 18:47,80,82,111,27,42,70
2020-12-04 18:42,80,82,111,29,42,70
2020-12-04 18:36,79,82,111,30,42,70
2020-12-04 18:30,80,82,111,30,42,70
2020-12-04 18:25,78,82,111,29,42,70
2020-12-04 18:20,80,82,111,30,42,70
2020-12-04 18:15,79,82,111,31,42,70
2020-12-04 18:10,75,82,111,28,42,70
2020-12-04 18:05,75,82,111,29,42,70
2020-12-04 18:00,77,82,111,30,42,70
2020-12-04 17:55,76,82,111,33,42,70
2020-12-04 17:50,78,82,111,37,42,70
2020-12-04 17:45,73,82,111,45,42,70
2020-12-04 17:40,66,82,111,48,42,70
2020-12-04 17:35,64,82,111,49,42,70
2020-12-04 17:30,62,82,111,55,42,70
2020-12-04 17:25,59,82,111,56,42,70
2020-12-04 17:20,62,82,111,57,42,70
2020-12-04 17:01,79,82,111,59,42,70
2020-12-04 12:34,68,82,111,15,42,70
2020-12-04 12:26,53,82,111,14,42,70
2020-12-04 12:06,44,82,111,15,42,70
2020-12-04 11:58,44,82,111,18,42,70
2020-12-04 11:50,81,82,111,34,42,70
